PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.77 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=283 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=359 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=472 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=668 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=774 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=871 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=971 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=839 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=652 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=636 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=642 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=753 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=925 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=873 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=723 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=571 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=540 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=536 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=537 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=546 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=540 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=547 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=552 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=548 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=551 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=547 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=550 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=564 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=566 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=568 ms
