PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.26 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=287 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=247 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=263 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=258 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=260 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=197 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=188 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=91.4 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=60.3 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=70.7 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=79.9 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=170 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=70.1 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=80.4 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=60.9 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=69.5 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=55.6 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=116 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=79.2 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=37.8 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=81.1 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=67.1 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=152 ms
