PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.45 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=261 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=385 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=380 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=394 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=389 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=398 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=419 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=403 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=424 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=421 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=427 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=433 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=501 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=510 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=582 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=583 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=592 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=594 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=714 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=711 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=729 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=742 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=762 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=659 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=669 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=618 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=555 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=563 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=567 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=576 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=573 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=588 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=651 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=673 ms
