PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.93 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=185 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=199 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=200 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=183 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=177 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=195 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=217 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=210 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=215 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=212 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=214 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=179 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=181 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=196 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=205 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=160 ms
